station_id,city,charger_type,total_sessions,avg_charging_time,energy_delivered_kWh,price_per_kWh,revenue,peak_hours,customer_rating,utilization_rate,day,month
STN_001,Pune,Supercharger,197,81,269.68,23.68,36810.69,6-10 PM,2.9,86.28,14,6
STN_002,Hyderabad,Slow,170,41,124.75,15.86,13065.09,6-10 AM,4.8,89.58,7,1
STN_003,Berlin,Fast,178,77,61.61,11.65,11546.24,6-10 PM,3.5,94.62,17,7
STN_004,Sydney,Supercharger,61,77,68.61,15.26,11570.63,6-10 PM,3.5,33.04,12,12
STN_005,New York,Fast,118,68,235.61,24.64,37582.99,2-6 PM,3.8,49.72,20,1
STN_006,Ahmedabad,Slow,26,71,196.92,15.87,31607.89,2-6 PM,2.6,76.87,4,5
STN_007,Berlin,Fast,163,61,57.3,12.92,25922.62,6-10 AM,2.9,72.2,9,10
STN_008,Chennai,Supercharger,109,89,52.71,18.4,19353.22,2-6 PM,4.3,31.54,6,8
STN_009,Pune,Supercharger,131,34,219.26,11.32,40088.02,2-6 PM,2.7,81.19,16,4
STN_010,Surat,Slow,79,73,49.65,8.37,20697.8,2-6 PM,4,36.83,25,5
STN_011,Bangalore,Fast,132,79,251.9,9.32,37663.98,6-10 PM,3.1,36.79,28,4
STN_012,Pune,Supercharger,21,27,220.69,9.3,22565.4,6-10 AM,3.5,60.27,22,12
STN_013,New York,Slow,148,72,51.96,9.73,20077.78,10 AM - 2 PM,3.2,64.47,22,12
STN_014,New York,Supercharger,67,79,52.91,9.5,23507.19,6-10 PM,3.4,63.51,21,4
STN_015,Ahmedabad,Supercharger,159,24,296.39,18.54,17055.11,2-6 PM,4.3,26.86,21,12
STN_016,Chennai,Fast,56,87,131.05,10.27,34904.38,6-10 PM,3.2,85.81,2,8
STN_017,Hyderabad,Supercharger,179,25,130.07,13.22,25108.82,2-6 PM,3.9,39.92,24,2
STN_018,Ahmedabad,Fast,28,66,249.46,23.14,14288.51,2-6 PM,3.7,29.71,8,1
STN_019,Ahmedabad,Supercharger,118,74,285.76,15.53,40982.98,6-10 PM,4.2,86.66,11,3
STN_020,Bangalore,Slow,166,59,296.22,19.02,20355.65,6-10 AM,4.8,91.67,13,9
